iter	Passed	Remaining
412	3627	5155
413	3636	5147
414	3643	5136
415	3651	5126
416	3658	5115
417	3665	5103
418	3673	5093
419	3681	5083
420	3690	5074
421	3700	5068
422	3708	5058
423	3721	5055
424	3730	5047
425	3737	5035
426	3747	5029
427	3756	5020
428	3767	5015
429	3776	5005
430	3785	4997
431	3792	4986
432	3801	4977
433	3809	4968
434	3817	4958
435	3824	4946
436	3831	4935
437	3837	4924
438	3845	4914
439	3853	4904
440	3860	4893
441	3868	4883
442	3878	4876
443	3888	4869
444	3895	4858
445	3905	4851
446	3915	4843
447	3921	4832
448	3928	4821
449	3935	4810
450	3946	4803
451	3952	4792
452	3960	4781
453	3967	4771
454	3975	4762
455	3985	4754
456	3997	4749
457	4004	4739
458	4014	4731
459	4022	4721
460	4031	4713
461	4038	4702
462	4047	4694
463	4058	4688
464	4068	4681
465	4080	4675
466	4088	4665
467	4097	4658
468	4105	4648
469	4113	4638
470	4121	4628
471	4128	4618
472	4137	4609
473	4148	4603
474	4155	4592
475	4162	4582
476	4169	4571
477	4179	4563
478	4188	4555
479	4200	4550
480	4209	4542
481	4217	4532
482	4224	4522
483	4233	4513
484	4242	4505
485	4249	4494
486	4259	4486
487	4270	4480
488	4278	4470
489	4285	4460
490	4297	4455
491	4306	4446
492	4316	4439
493	4324	4429
494	4334	4421
495	4343	4413
496	4354	4406
497	4363	4398
498	4370	4387
499	4377	4377
500	4384	4367
501	4392	4357
502	4401	4349
503	4409	4339
504	4415	4328
505	4426	4321
506	4435	4312
507	4444	4304
508	4450	4293
509	4461	4286
510	4470	4277
511	4479	4269
512	4486	4259
513	4495	4250
514	4504	4241
515	4513	4233
516	4519	4222
517	4526	4212
518	4533	4201
519	4540	4191
520	4548	4181
521	4559	4175
522	4571	4168
523	4578	4159
524	4587	4150
525	4596	4141
526	4604	4133
527	4614	4124
528	4622	4115
529	4630	4106
530	4637	4095
531	4644	4085
532	4654	4078
533	4664	4070
534	4674	4062
535	4684	4055
536	4693	4046
537	4700	4036
538	4711	4029
539	4722	4022
540	4730	4013
541	4739	4004
542	4746	3994
543	4754	3985
544	4761	3974
545	4770	3966
546	4778	3957
547	4787	3948
548	4795	3939
549	4804	3930
550	4814	3922
551	4824	3915
552	4832	3906
553	4840	3896
554	4850	3889
555	4859	3880
556	4869	3872
557	4876	3863
558	4887	3855
559	4897	3848
560	4906	3839
561	4915	3830
562	4922	3821
563	4930	3811
564	4938	3802
565	4946	3792
566	4957	3785
567	4965	3776
568	4973	3767
569	4981	3758
570	4988	3748
571	4995	3737
572	5003	3728
573	5012	3719
574	5021	3711
575	5028	3701
576	5038	3693
577	5046	3684
578	5055	3676
579	5065	3667
580	5073	3659
581	5083	3651
582	5092	3642
583	5102	3634
584	5113	3627
585	5119	3617
586	5128	3608
